id,sex,age,edu,drink
296,female,65-74,college diploma,not in the past month
297,female,15-24,bachelor's degree ,once or twice in the past month
298,female,45-54,college diploma,once or twice in the past month
299,female,15-24,high school diploma,never drink
300,female,45-54,college diploma,once or twice in the past month
301,male,45-54,bachelor's degree ,2-3 times a week
302,male,45-54,bachelor's degree ,2-3 times a week
303,female,65-74,trade certificate,2-3 times a week
304,female,65-74,less than high school diploma,never drink
305,female,45-54,bachelor's degree ,once a week
306,male,45-54,college diploma,never drink
307,male,65-74,university diploma below bachelor's degree,4-6 times a week
308,male,55-64,university diploma above bachelor's degree,once or twice in the past month
309,male,55-64,college diploma,everyday
310,male,35-44,bachelor's degree ,4-6 times a week
311,female,45-54,high school diploma,once or twice in the past month
312,male,35-44,college diploma,once or twice in the past month
313,female,35-44,bachelor's degree ,4-6 times a week
314,male,65-74,university diploma above bachelor's degree,once or twice in the past month
315,male,25-34,bachelor's degree ,2-3 times a week
316,female,15-24,bachelor's degree ,once a week
317,female,75&over,university diploma below bachelor's degree,never drink
318,female,75&over,less than high school diploma,once or twice in the past month
319,female,55-64,college diploma,2-3 times a week
320,female,25-34,university diploma above bachelor's degree,once a week
321,male,65-74,high school diploma,2-3 times a week
322,female,55-64,college diploma,4-6 times a week
323,male,65-74,bachelor's degree ,2-3 times a week
324,male,25-34,university diploma below bachelor's degree,never drink
325,female,75&over,bachelor's degree ,never drink
326,female,15-24,high school diploma,once or twice in the past month
327,female,45-54,university diploma below bachelor's degree,never drink
328,male,25-34,college diploma,once or twice in the past month
329,female,65-74,less than high school diploma,never drink
330,female,75&over,bachelor's degree ,4-6 times a week
331,female,55-64,high school diploma,once or twice in the past month
332,male,75&over,high school diploma,2-3 times a week
333,female,75&over,less than high school diploma,never drink
334,male,35-44,university diploma above bachelor's degree,never drink
335,female,25-34,high school diploma,once a week
336,male,35-44,trade certificate,everyday
337,female,65-74,university diploma above bachelor's degree,once or twice in the past month
338,female,35-44,college diploma,once a week
339,male,45-54,trade certificate,everyday
340,female,45-54,university diploma above bachelor's degree,not in the past month
341,male,45-54,bachelor's degree ,once a week
342,female,55-64,bachelor's degree ,4-6 times a week
343,male,65-74,bachelor's degree ,2-3 times a week
344,male,65-74,less than high school diploma,everyday
345,female,25-34,bachelor's degree ,never drink
346,female,55-64,high school diploma,once a week
347,female,65-74,college diploma,2-3 times a week
348,female,15-24,college diploma,once a week
349,male,45-54,high school diploma,4-6 times a week
350,female,65-74,bachelor's degree ,4-6 times a week
351,female,35-44,college diploma,once or twice in the past month
352,male,45-54,high school diploma,4-6 times a week
353,male,35-44,high school diploma,never drink
354,male,55-64,high school diploma,everyday
355,female,25-34,bachelor's degree ,2-3 times a week
356,male,55-64,bachelor's degree ,4-6 times a week
357,male,65-74,university diploma below bachelor's degree,4-6 times a week
358,male,35-44,trade certificate,not in the past month
359,female,55-64,less than high school diploma,not in the past month
360,female,55-64,college diploma,once or twice in the past month
361,male,25-34,college diploma,once or twice in the past month
362,female,55-64,college diploma,never drink
363,male,15-24,trade certificate,once a week
364,male,15-24,high school diploma,never drink
365,male,55-64,not stated,once or twice in the past month
366,male,15-24,not stated,once a week
367,female,55-64,less than high school diploma,not in the past month
368,female,35-44,bachelor's degree ,once a week
369,female,35-44,college diploma,never drink
370,female,55-64,trade certificate,once a week
371,female,45-54,bachelor's degree ,not in the past month
372,male,55-64,high school diploma,2-3 times a week
373,female,35-44,university diploma above bachelor's degree,never drink
374,female,35-44,high school diploma,not in the past month
375,male,35-44,trade certificate,everyday
376,female,55-64,high school diploma,not in the past month
377,female,65-74,high school diploma,once or twice in the past month
378,male,75&over,less than high school diploma,once or twice in the past month
379,female,55-64,college diploma,never drink
380,female,75&over,high school diploma,once a week
381,male,45-54,bachelor's degree ,once or twice in the past month
382,male,45-54,trade certificate,2-3 times a week
383,female,25-34,college diploma,not in the past month
384,female,55-64,high school diploma,2-3 times a week
385,female,35-44,bachelor's degree ,not in the past month
386,female,45-54,high school diploma,once or twice in the past month
387,female,15-24,college diploma,2-3 times a week
388,female,45-54,college diploma,everyday
389,female,25-34,college diploma,4-6 times a week
390,female,65-74,high school diploma,never drink
391,male,45-54,bachelor's degree ,4-6 times a week
392,male,15-24,high school diploma,once a week
393,female,45-54,college diploma,never drink
394,female,15-24,less than high school diploma,not in the past month
395,female,65-74,bachelor's degree ,2-3 times a week
396,male,65-74,bachelor's degree ,not in the past month
397,female,65-74,university diploma below bachelor's degree,once or twice in the past month
398,male,75&over,trade certificate,everyday
399,female,75&over,less than high school diploma,not in the past month
400,female,55-64,college diploma,not in the past month
401,male,45-54,less than high school diploma,not in the past month
402,female,15-24,bachelor's degree ,not in the past month
403,female,45-54,bachelor's degree ,never drink
404,male,45-54,high school diploma,once a week
405,female,45-54,university diploma above bachelor's degree,once or twice in the past month
406,male,45-54,university diploma above bachelor's degree,2-3 times a week
407,male,55-64,college diploma,not in the past month
408,female,45-54,bachelor's degree ,once a week
409,female,35-44,college diploma,once or twice in the past month
410,female,55-64,high school diploma,once or twice in the past month
411,female,65-74,less than high school diploma,once or twice in the past month
412,female,65-74,college diploma,once a week
413,female,75&over,trade certificate,2-3 times a week
414,male,35-44,bachelor's degree ,once a week
415,female,75&over,high school diploma,not in the past month
416,male,15-24,high school diploma,2-3 times a week
417,female,45-54,university diploma above bachelor's degree,once or twice in the past month
418,female,35-44,high school diploma,not in the past month
419,female,65-74,high school diploma,everyday
420,male,35-44,trade certificate,once or twice in the past month
421,male,65-74,less than high school diploma,once or twice in the past month
422,male,45-54,university diploma above bachelor's degree,never drink
423,female,45-54,high school diploma,never drink
424,male,55-64,high school diploma,2-3 times a week
425,female,25-34,bachelor's degree ,never drink
426,female,55-64,less than high school diploma,never drink
427,male,35-44,trade certificate,once or twice in the past month
428,male,55-64,less than high school diploma,never drink
429,male,35-44,college diploma,once or twice in the past month
430,female,65-74,less than high school diploma,never drink
431,male,45-54,trade certificate,not in the past month
432,male,55-64,bachelor's degree ,once or twice in the past month
433,female,45-54,college diploma,once a week
434,female,45-54,high school diploma,once or twice in the past month
435,male,25-34,college diploma,2-3 times a week
436,female,65-74,less than high school diploma,once or twice in the past month
437,female,65-74,high school diploma,not in the past month
438,male,65-74,college diploma,2-3 times a week
439,female,55-64,bachelor's degree ,once a week
440,male,55-64,less than high school diploma,once or twice in the past month
441,female,65-74,less than high school diploma,never drink
442,female,25-34,trade certificate,once or twice in the past month
443,male,55-64,less than high school diploma,once or twice in the past month
444,female,45-54,high school diploma,4-6 times a week
445,female,35-44,bachelor's degree ,2-3 times a week
446,male,65-74,high school diploma,once or twice in the past month
447,female,55-64,university diploma above bachelor's degree,never drink
448,female,55-64,college diploma,4-6 times a week
449,male,65-74,less than high school diploma,once a week
450,male,35-44,college diploma,once a week
451,male,35-44,university diploma above bachelor's degree,once a week
452,female,65-74,don't know,never drink
453,female,55-64,college diploma,2-3 times a week
454,female,65-74,trade certificate,never drink
455,female,45-54,bachelor's degree ,never drink
456,male,35-44,university diploma above bachelor's degree,4-6 times a week
457,female,65-74,trade certificate,once or twice in the past month
458,female,65-74,high school diploma,once or twice in the past month
459,female,75&over,less than high school diploma,once or twice in the past month
460,male,55-64,college diploma,4-6 times a week
461,male,35-44,bachelor's degree ,not in the past month
462,female,45-54,high school diploma,not in the past month
463,male,75&over,high school diploma,everyday
464,female,35-44,trade certificate,never drink
465,female,65-74,less than high school diploma,not in the past month
466,female,55-64,not stated,never drink
467,female,55-64,bachelor's degree ,once a week
468,male,75&over,college diploma,4-6 times a week
469,female,35-44,bachelor's degree ,once a week
470,female,25-34,less than high school diploma,4-6 times a week
471,female,65-74,university diploma below bachelor's degree,once a week
472,female,25-34,bachelor's degree ,4-6 times a week
473,male,45-54,trade certificate,once or twice in the past month
474,female,45-54,bachelor's degree ,not in the past month
475,male,75&over,less than high school diploma,not in the past month
476,female,45-54,college diploma,never drink
477,female,45-54,college diploma,4-6 times a week
478,male,45-54,bachelor's degree ,once or twice in the past month
479,male,35-44,college diploma,not in the past month
480,male,45-54,trade certificate,once a week
481,female,55-64,bachelor's degree ,not in the past month
482,female,55-64,college diploma,2-3 times a week
483,female,75&over,trade certificate,not in the past month
484,male,35-44,university diploma above bachelor's degree,2-3 times a week
485,female,25-34,bachelor's degree ,once or twice in the past month
486,male,55-64,university diploma above bachelor's degree,never drink
487,female,35-44,college diploma,not in the past month
488,male,15-24,high school diploma,4-6 times a week
489,male,45-54,high school diploma,4-6 times a week
490,female,55-64,high school diploma,never drink
491,male,25-34,bachelor's degree ,4-6 times a week
492,male,75&over,trade certificate,everyday
493,female,55-64,bachelor's degree ,once or twice in the past month
494,male,35-44,university diploma above bachelor's degree,once or twice in the past month
495,female,55-64,university diploma above bachelor's degree,2-3 times a week
496,male,25-34,high school diploma,once or twice in the past month
497,male,25-34,high school diploma,2-3 times a week
498,female,35-44,college diploma,not in the past month
499,female,75&over,bachelor's degree ,4-6 times a week
500,female,65-74,high school diploma,once or twice in the past month
501,male,75&over,bachelor's degree ,everyday
502,male,55-64,university diploma above bachelor's degree,4-6 times a week
503,female,45-54,university diploma below bachelor's degree,4-6 times a week
504,male,35-44,trade certificate,4-6 times a week
505,female,25-34,college diploma,never drink
506,male,75&over,refusal,once a week
507,male,25-34,less than high school diploma,2-3 times a week
508,female,65-74,college diploma,once or twice in the past month
509,male,25-34,college diploma,once or twice in the past month
510,female,45-54,high school diploma,never drink
511,female,55-64,college diploma,once or twice in the past month
512,female,15-24,less than high school diploma,never drink
513,female,75&over,high school diploma,2-3 times a week
514,female,55-64,college diploma,once a week
515,female,55-64,college diploma,once a week
516,male,35-44,high school diploma,once a week
517,female,45-54,bachelor's degree ,never drink
518,female,15-24,high school diploma,once or twice in the past month
519,male,45-54,bachelor's degree ,not in the past month
520,female,25-34,university diploma above bachelor's degree,once a week
521,male,65-74,less than high school diploma,2-3 times a week
522,female,45-54,bachelor's degree ,once or twice in the past month
523,male,25-34,trade certificate,4-6 times a week
524,male,15-24,high school diploma,2-3 times a week
525,female,75&over,high school diploma,not in the past month
526,female,35-44,college diploma,once a week
527,male,15-24,high school diploma,everyday
528,female,65-74,university diploma below bachelor's degree,never drink
529,male,45-54,less than high school diploma,4-6 times a week
530,female,55-64,high school diploma,not in the past month
531,male,25-34,trade certificate,never drink
532,male,75&over,not stated,everyday
533,male,55-64,university diploma above bachelor's degree,never drink
534,male,55-64,trade certificate,never drink
535,male,55-64,high school diploma,4-6 times a week
536,female,35-44,college diploma,once or twice in the past month
537,male,45-54,college diploma,once or twice in the past month
538,male,45-54,bachelor's degree ,never drink
539,male,25-34,high school diploma,once or twice in the past month
540,male,65-74,college diploma,not in the past month
541,male,35-44,university diploma above bachelor's degree,4-6 times a week
542,female,55-64,college diploma,everyday
543,female,35-44,college diploma,not in the past month
544,female,65-74,high school diploma,once a week
545,female,55-64,college diploma,never drink
546,male,45-54,university diploma above bachelor's degree,4-6 times a week
547,male,75&over,less than high school diploma,not in the past month
548,female,65-74,bachelor's degree ,everyday
549,female,55-64,bachelor's degree ,once a week
550,male,25-34,high school diploma,once or twice in the past month
551,male,25-34,university diploma above bachelor's degree,2-3 times a week
552,male,25-34,university diploma above bachelor's degree,once a week
553,male,25-34,high school diploma,once or twice in the past month
554,male,45-54,trade certificate,never drink
555,male,55-64,college diploma,4-6 times a week
556,female,65-74,college diploma,2-3 times a week
557,male,35-44,college diploma,once or twice in the past month
558,female,35-44,college diploma,once or twice in the past month
559,male,15-24,high school diploma,not in the past month
560,male,25-34,bachelor's degree ,2-3 times a week
561,male,35-44,university diploma above bachelor's degree,2-3 times a week
562,female,45-54,college diploma,once or twice in the past month
563,male,25-34,college diploma,2-3 times a week
564,female,55-64,bachelor's degree ,never drink
565,male,65-74,trade certificate,2-3 times a week
566,female,45-54,bachelor's degree ,once or twice in the past month
567,male,35-44,trade certificate,2-3 times a week
568,male,25-34,university diploma below bachelor's degree,once or twice in the past month
569,male,45-54,bachelor's degree ,2-3 times a week
570,male,45-54,trade certificate,everyday
571,male,55-64,bachelor's degree ,once a week
572,female,55-64,bachelor's degree ,never drink
573,female,45-54,college diploma,not in the past month
574,female,35-44,bachelor's degree ,once or twice in the past month
575,male,45-54,bachelor's degree ,4-6 times a week
576,female,45-54,college diploma,2-3 times a week
577,female,15-24,college diploma,not in the past month
578,male,55-64,college diploma,everyday
579,male,65-74,bachelor's degree ,everyday
580,female,45-54,high school diploma,not in the past month
581,female,65-74,high school diploma,once or twice in the past month
582,male,35-44,high school diploma,everyday
583,female,75&over,university diploma above bachelor's degree,4-6 times a week
584,female,45-54,bachelor's degree ,2-3 times a week
585,male,65-74,trade certificate,once or twice in the past month
586,female,45-54,don't know,once or twice in the past month
587,female,65-74,university diploma above bachelor's degree,2-3 times a week
588,female,25-34,don't know,once a week
589,male,55-64,less than high school diploma,never drink
590,female,35-44,college diploma,once or twice in the past month
591,female,35-44,trade certificate,never drink
592,male,45-54,college diploma,once a week
593,female,35-44,college diploma,once a week
594,female,45-54,less than high school diploma,once or twice in the past month
595,female,75&over,college diploma,not in the past month
596,female,45-54,university diploma below bachelor's degree,once or twice in the past month
597,male,25-34,bachelor's degree ,once or twice in the past month
598,male,75&over,less than high school diploma,never drink
599,male,65-74,college diploma,not in the past month
600,male,35-44,high school diploma,not in the past month
601,male,15-24,high school diploma,once a week
602,female,35-44,don't know,don't know
603,female,15-24,high school diploma,2-3 times a week
604,male,65-74,trade certificate,not in the past month
605,male,35-44,college diploma,2-3 times a week
606,female,65-74,high school diploma,never drink
607,male,55-64,bachelor's degree ,once or twice in the past month
608,female,25-34,trade certificate,once a week
609,female,55-64,less than high school diploma,once or twice in the past month
610,female,65-74,high school diploma,4-6 times a week
611,female,35-44,university diploma above bachelor's degree,never drink
612,male,35-44,college diploma,2-3 times a week
613,male,25-34,bachelor's degree ,4-6 times a week
614,female,75&over,high school diploma,2-3 times a week
615,female,45-54,high school diploma,not in the past month
616,female,65-74,high school diploma,once or twice in the past month
617,male,45-54,bachelor's degree ,once or twice in the past month
618,female,55-64,less than high school diploma,not in the past month
619,female,25-34,high school diploma,once or twice in the past month
620,female,15-24,bachelor's degree ,once a week
621,male,55-64,high school diploma,once or twice in the past month
622,female,15-24,college diploma,not in the past month
623,female,75&over,college diploma,once or twice in the past month
624,female,55-64,college diploma,4-6 times a week
625,male,35-44,bachelor's degree ,never drink
626,male,65-74,high school diploma,never drink
627,male,65-74,bachelor's degree ,not in the past month
628,female,25-34,college diploma,once a week
629,male,65-74,bachelor's degree ,2-3 times a week
630,female,55-64,university diploma below bachelor's degree,4-6 times a week
631,female,45-54,college diploma,once a week
632,male,65-74,less than high school diploma,everyday
633,male,75&over,university diploma above bachelor's degree,4-6 times a week
