CASEID,agearr10,agecxryg,agefhsdg,agegr10,agehsdyg,aprgrdif,ageprg10,sex,marstat,sexpr,prtypec,chh0014c,chinhsdc,cxr0014c,cxrflag,cxrtime6,parnum,livarr08,livarr11,fhsd,mhsd,agemhsdg,grfhsd,grmhsd,sonhsd,dauhsd,solhsdc,grsohsdc,grchhsdc,grdahsdc,brhsdc,brohsdc,sihsdc,ilhsdc,orelhsdc,unrlhsdc,hsdsizec,hsdeligc,multigen,drr_110,ehg3_01
 5735,96, 4,96,4, 2,96,96,2,6,6,0,0,1,0,1,4,0,5, 6,2,2,96,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 4, 5
 5736,96, 6,96,4, 3,96,96,2,6,6,0,0,1,0,1,1,0,5, 7,2,2,96,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 2, 4
 5737,96,96,96,4, 5,96,96,1,4,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 4, 6
 5738,96,96,96,6, 7,13, 6,2,1,1,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 5, 4
 5739,96, 1,96,2, 1,96,96,2,6,6,0,2,2,2,1,5,0,5, 6,2,2,96,2,2,1,1,0,0,0,0,0,0,0,0,0,0,3,1,2, 5, 4
 5740,96,96,96,6, 7,96,96,1,3,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 6, 1
 5741,96,96,96,6, 7, 2, 5,1,1,2,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 3, 1
 5742,96,96,96,5, 6,96,96,2,6,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2, 6, 2
 5743,96, 1,96,2, 1, 6, 2,2,2,1,2,2,2,2,1,2,0,5, 3,2,2,96,2,2,1,1,0,0,0,0,0,0,0,0,0,0,4,2,2, 6, 2
 5744,96, 6,96,6, 4, 5, 6,1,1,2,1,0,1,0,1,1,0,5, 4,2,2,96,2,2,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2, 5, 3
 5745,96,96,96,3, 4,14, 4,1,2,2,2,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2, 2, 3
 5746,96, 2,96,2, 1,12, 3,2,1,1,1,2,2,2,1,3,0,5, 3,2,2,96,2,2,1,1,0,0,0,0,0,0,0,0,0,0,4,2,2, 4, 2
